name,ibge_code,state,capital,category_number,label_name,latitude,longitude
Campo Florido,3111408,MG,Campo Florido,5,Campo Florido,-19.7654453932829,-48.5730034681848
Campos Altos,3111507,MG,Campos Altos,5,Campos Altos,-19.6988958417622,-46.1737099168343
"São Jeronimo dos Pocoes Campos Altos ",3111507,MG,Campos Altos,10,São Jerônimo dos Poções,-19.6988958417622,-46.1737099168343
Campos Gerais,3111606,MG,Campos Gerais,5,Campos Gerais,-21.238697907437,-45.7569073652198
"Corrego do Ouro Campos Gerais ",3111606,MG,Campos Gerais,10,Córrego do Ouro,-21.238697907437,-45.7569073652198
Cana Verde,3111903,MG,Cana Verde,5,Cana Verde,-21.0234516663837,-45.185925314678
Canaa,3111705,MG,Canaã,5,Canaã,-20.6873760386752,-42.6130114531103
Canapolis,3111804,MG,Canápolis,5,Canápolis,-18.7216637220479,-49.2040544543899
Candeias,3112000,MG,Candeias,5,Candeias,-12.6719227052682,-38.5435962675254
Cantagalo,3112059,MG,Cantagalo,5,Cantagalo,-25.3743173860408,-52.1266876349423
Caparao,3112109,MG,Caparaó,5,Caparaó,-20.5255883673675,-41.9071902950208
Capela Nova,3112208,MG,Capela Nova,5,Capela Nova,-20.9166679077144,-43.6124218663921
Capelinha,3112307,MG,Capelinha,5,Capelinha,-17.6953852202015,-42.5160753734565
Capetinga,3112406,MG,Capetinga,5,Capetinga,-20.6204991278605,-47.0574368006836
"Goianases Capetinga ",3112406,MG,Capetinga,10,Goianases,-20.6204991278605,-47.0574368006836
Capim Branco,3112505,MG,Capim Branco,5,Capim Branco,-19.5455422093287,-44.1331662414131
Capinopolis,3112604,MG,Capinópolis,5,Capinópolis,-18.6822937337555,-49.5744822393992
Capitao Andrade,3112653,MG,Capitão Andrade,5,Capitão Andrade,-19.0790244575707,-41.8650973290854
Capitao Eneas,3112703,MG,Capitão Enéas,5,Capitão Enéas,-16.3209151363553,-43.7054128998982
"Cacarema Capitao Eneas ",3112703,MG,Capitão Enéas,10,Caçarema,-16.3209151363553,-43.7054128998982
"Santana da Serra Capitao Eneas ",3112703,MG,Capitão Enéas,20,Santana da Serra,-16.3209151363553,-43.7054128998982
Capitolio,3112802,MG,Capitólio,5,Capitólio,-20.6146635994975,-46.0545138880806
Caputira,3112901,MG,Caputira,5,Caputira,-20.1708899894667,-42.2719878999316
Carai,3113008,MG,Caraí,5,Caraí,-17.1929041661081,-41.6983072511944
"Marambainha Carai ",3113008,MG,Caraí,10,Marambainha,-17.1929041661081,-41.6983072511944
"Maranhão Carai ",3113008,MG,Caraí,12,Maranhão,-17.1929041661081,-41.6983072511944
"Ponto do Marambaia Carai ",3113008,MG,Caraí,15,Ponto do Marambaia,-17.1929041661081,-41.6983072511944
Caranaiba,3113107,MG,Caranaíba,5,Caranaíba,-20.8702194155652,-43.7394664788539
Carandai,3113206,MG,Carandaí,5,Carandaí,-20.9543694555465,-43.8054753702247
"Hermilo Alves Carandai ",3113206,MG,Carandaí,10,Hermilo Alves,-20.9543694555465,-43.8054753702247
"Pedra do Sino Carandai ",3113206,MG,Carandaí,15,Pedra do Sino,-20.9543694555465,-43.8054753702247
Carangola,3113305,MG,Carangola,5,Carangola,-20.732550508322,-42.0322245231296
Alvorada Carangola,3113305,MG,Carangola,10,Alvorada,-20.732550508322,-42.0322245231296
"Lacerdinha Carangola ",3113305,MG,Carangola,20,Lacerdinha,-20.732550508322,-42.0322245231296
"Ponte Alta de Minas Carangola ",3113305,MG,Carangola,25,Ponte Alta de Minas,-20.732550508322,-42.0322245231296
Caratinga,3113404,MG,Caratinga,5,Caratinga,-19.7896349230665,-42.1437070451993
Carbonita,3113503,MG,Carbonita,5,Carbonita,-17.5302458345986,-43.0144602004652
Careacu,3113602,MG,Careaçu,5,Careaçu,-22.0380848512152,-45.6876774051204
Carlos Chagas,3113701,MG,Carlos Chagas,5,Carlos Chagas,-17.7033310440365,-40.7673997960806
"Epaminondas Otoni Carlos Chagas ",3113701,MG,Carlos Chagas,10,Epaminondas Otoni,-17.7033310440365,-40.7673997960806
"Presidente Pena Carlos Chagas ",3113701,MG,Carlos Chagas,15,Presidente Pena,-17.7033310440365,-40.7673997960806
Carmesia,3113800,MG,Carmésia,5,Carmésia,-19.0870863874439,-43.1458403032499
Carmo da Cachoeira,3113909,MG,Carmo da Cachoeira,5,Carmo da Cachoeira,-21.4610604282587,-45.2246230941763
"Palmital do Cervo Carmo da Cachoeira ",3113909,MG,Carmo da Cachoeira,20,Palmital do Cervo,-21.4610604282587,-45.2246230941763
Carmo da Mata,3114006,MG,Carmo da Mata,5,Carmo da Mata,-20.5592100019754,-44.8683827332713
Carmo de Minas,3114105,MG,Carmo de Minas,5,Carmo de Minas,-22.1181266345725,-45.1327634855743
Carmo do Cajuru,3114204,MG,Carmo do Cajuru,5,Carmo do Cajuru,-20.186093830724,-44.771478137316
"Bom Jesus de Angicos Carmo do Cajuru ",3114204,MG,Carmo do Cajuru,8,Bom Jesus de Angicos,-20.186093830724,-44.771478137316
"Santo Antônio da Serra Carmo do Cajuru ",3114204,MG,Carmo do Cajuru,9,Santo Antônio da Serra,-20.186093830724,-44.771478137316
"São José dos Salgados Carmo do Cajuru ",3114204,MG,Carmo do Cajuru,10,São José dos Salgados,-20.186093830724,-44.771478137316
Carmo do Paranaiba,3114303,MG,Carmo do Paranaíba,5,Carmo do Paranaíba,-18.9972890251417,-46.3142888776277
"Quintinos Carmo do Paranaiba ",3114303,MG,Carmo do Paranaíba,10,Quintinos,-18.9972890251417,-46.3142888776277
Carmo do Rio Claro,3114402,MG,Carmo do Rio Claro,5,Carmo do Rio Claro,-20.9729965301287,-46.1219647340897
"Itaci Carmo do Rio Claro ",3114402,MG,Carmo do Rio Claro,10,Itaci,-20.9729965301287,-46.1219647340897
"Vilelandia Carmo do Rio Claro ",3114402,MG,Carmo do Rio Claro,20,Vilelândia,-20.9729965301287,-46.1219647340897
Carmopolis de Minas,3114501,MG,Carmópolis de Minas,5,Carmópolis de Minas,-20.5396421743262,-44.6325277075291
Carneirinho,3114550,MG,Carneirinho,5,Carneirinho,-19.6973263172808,-50.6914274936605
"Estrela da Barra Carneirinho ",3114550,MG,Carneirinho,10,Estrela da Barra,-19.6973263172808,-50.6914274936605
"Fátima do Pontal Carneirinho ",3114550,MG,Carneirinho,17,Fátima do Pontal,-19.6973263172808,-50.6914274936605
"São Sebastião do Pontal Carneirinho ",3114550,MG,Carneirinho,20,São Sebastião do Pontal,-19.6973263172808,-50.6914274936605
Carrancas,3114600,MG,Carrancas,5,Carrancas,-21.4916256213918,-44.6436090229114
Carvalhopolis,3114709,MG,Carvalhópolis,5,Carvalhópolis,-21.7760729207397,-45.8456391849518
Carvalhos,3114808,MG,Carvalhos,5,Carvalhos,-21.9967053815743,-44.466015072793
"Franceses Carvalhos ",3114808,MG,Carvalhos,10,Franceses,-21.9967053815743,-44.466015072793
Casa Grande,3114907,MG,Casa Grande,5,Casa Grande,-20.7934512867946,-43.9314665941035
Cascalho Rico,3115003,MG,Cascalho Rico,5,Cascalho Rico,-18.5785902482689,-47.8759987830325
Cassia,3115102,MG,Cássia,5,Cássia,-20.5828560244396,-46.924035860642
Cataguases,3115300,MG,Cataguases,5,Cataguases,-21.3892484232128,-42.6920846108201
Aracati de Minas Cataguases,3115300,MG,Cataguases,7,Aracati de Minas,-21.3892484232128,-42.6920846108201
"Cataguarino Cataguases ",3115300,MG,Cataguases,10,Cataguarino,-21.3892484232128,-42.6920846108201
"Glória de Cataguases Cataguases ",3115300,MG,Cataguases,12,Glória de Cataguases,-21.3892484232128,-42.6920846108201
"Sereno Cataguases ",3115300,MG,Cataguases,15,Sereno,-21.3892484232128,-42.6920846108201
"Vista Alegre Cataguases ",3115300,MG,Cataguases,20,Vista Alegre,-21.3892484232128,-42.6920846108201
Catas Altas,3115359,MG,Catas Altas,5,Catas Altas,-20.0748929431654,-43.4148057349597
Catas Altas da Noruega,3115409,MG,Catas Altas da Noruega,5,Catas Altas da Noruega,-20.6870876210355,-43.5050592004737
Catuji,3115458,MG,Catuji,5,Catuji,-17.3010807061062,-41.523126865366
Catuti,3115474,MG,Catuti,5,Catuti,-15.3573788763445,-42.9635229642327
"Barreiro Branco Catuti ",3115474,MG,Catuti,10,Barreiro Branco,-15.3573788763445,-42.9635229642327
Caxambu,3115508,MG,Caxambu,5,Caxambu,-21.9793115398299,-44.9314985913756
Cedro do Abaete,3115607,MG,Cedro do Abaeté,5,Cedro do Abaeté,-19.1471676520828,-45.7121949359924
Central de Minas,3115706,MG,Central de Minas,5,Central de Minas,-18.7574605376829,-41.3104050536671
"Floresta Central de Minas ",3115706,MG,Central de Minas,10,Floresta,-18.7574605376829,-41.3104050536671
Centralina,3115805,MG,Centralina,5,Centralina,-18.5853855112475,-49.1962825701454
Chacara,3115904,MG,Chácara,5,Chácara,-21.6729132233441,-43.2187700295011
Chale,3116001,MG,Chalé,5,Chalé,-20.0442533445944,-41.6922070079875
"Professor Sperber Chale ",3116001,MG,Chalé,10,Professor Sperber,-20.0442533445944,-41.6922070079875
Chapada do Norte,3116100,MG,Chapada do Norte,5,Chapada do Norte,-17.0866959813483,-42.5407487605038
"Cachoeira do Norte Chapada do Norte ",3116100,MG,Chapada do Norte,10,Cachoeira do Norte,-17.0866959813483,-42.5407487605038
"Granjas do Norte Chapada do Norte ",3116100,MG,Chapada do Norte,20,Granjas do Norte,-17.0866959813483,-42.5407487605038
"Santa Rita do Aracuai Chapada do Norte ",3116100,MG,Chapada do Norte,30,Santa Rita do Araçuaí,-17.0866959813483,-42.5407487605038
"São Sebastião da Boa Vista Chapada do Norte ",3116100,MG,Chapada do Norte,40,São Sebastião da Boa Vista,-17.0866959813483,-42.5407487605038
Chapada Gaucha,3116159,MG,Chapada Gaúcha,5,Chapada Gaúcha,-15.2998087151246,-45.6255844399663
"Serra das Araras Chapada Gaucha ",3116159,MG,Chapada Gaúcha,20,Serra das Araras,-15.2998087151246,-45.6255844399663
"Vila Bom Jesus de Minas Chapada Gaucha ",3116159,MG,Chapada Gaúcha,30,Vila Bom Jesus de Minas,-15.2998087151246,-45.6255844399663
"Vila Retiro Velho Chapada Gaucha ",3116159,MG,Chapada Gaúcha,35,Vila Retiro Velho,-15.2998087151246,-45.6255844399663
Chiador,3116209,MG,Chiador,5,Chiador,-22.0037126009454,-43.0590388470773
"Penha Longa Chiador ",3116209,MG,Chiador,10,Penha Longa,-22.0037126009454,-43.0590388470773
Cipotanea,3116308,MG,Cipotânea,5,Cipotânea,-20.9055357479024,-43.367977207819
Claraval,3116407,MG,Claraval,5,Claraval,-20.398376080996,-47.2877612861721
Claro dos Pocoes,3116506,MG,Claro dos Poções,5,Claro dos Poções,-17.077685022881,-44.2087100149448
"Vista Alegre Claro dos Pocoes ",3116506,MG,Claro dos Poções,10,Vista Alegre,-17.077685022881,-44.2087100149448
Claudio,3116605,MG,Cláudio,5,Cláudio,-20.4445746550274,-44.7684225278902
