Itacoatiara;1301902;AM;Itacoatiara;05;Itacoatiara;1058;N;-3.14037880391635;-58.4401754367571
Amatari Itacoatiara;1301902;AM;Itacoatiara;10;Amatari;1058;N;-3.14037880391635;-58.4401754367571
Itamarati;1301951;AM;Itamarati;05;Itamarati;1058;N;-6.43779934861918;-68.2479174359782
Itapiranga;1302009;AM;Itapiranga;05;Itapiranga;1058;N;-2.74184275232884;-58.0345458839662
Japura;1302108;AM;Japurá;05;Japurá;1058;N;-1.880844858703;-66.9969034946413
Jurua;1302207;AM;Juruá;05;Juruá;1058;N;-3.47488959889068;-66.0630419255434
Jutai;1302306;AM;Jutaí;05;Jutaí;1058;N;-2.74464644685786;-66.7713275466878
Labrea;1302405;AM;Lábrea;05;Lábrea;1058;N;-7.26194655332705;-64.79477302752
Manacapuru;1302504;AM;Manacapuru;05;Manacapuru;1058;N;-3.29827803546755;-60.6205894458706
Manaquiri;1302553;AM;Manaquiri;05;Manaquiri;1058;N;-3.42907966935262;-60.4588813063745
Manaus;1302603;AM;Manaus;05;Manaus;1058;S;-3.13469149120195;-60.023335181061
Manicore;1302702;AM;Manicoré;05;Manicoré;1058;N;-5.81320526118813;-61.2992484088508
Maraa;1302801;AM;Maraã;05;Maraã;1058;N;-1.86643687730125;-65.5742837031641
Maues;1302900;AM;Maués;05;Maués;1058;N;-3.38642792621106;-57.7150343867525
Osorio da Fonseca Maues ;1302900;AM;Maués;10;Osório da Fonseca;1058;N;-3.38642792621106;-57.7150343867525
Repartimento Maues ;1302900;AM;Maués;15;Repartimento;1058;N;-3.38642792621106;-57.7150343867525
Nhamunda;1303007;AM;Nhamundá;05;Nhamundá;1058;N;-2.1889837668969;-56.7167699133376
Nova Olinda do Norte;1303106;AM;Nova Olinda do Norte;05;Nova Olinda do Norte;1058;N;-3.88759283191138;-59.0930740260433
Novo Airao;1303205;AM;Novo Airão;05;Novo Airão;1058;N;-2.62343245902763;-60.948810707829
